	1950	USA	/wiki/County_Fair_(1950_film)
	1980	USA	/wiki/Wikipedia:Citation_needed
 The Lorax	2012	USA	/wiki/The_Lorax_(film)
"She Shoulda Said 'No'!"	1949	USA	/wiki/%22She_Shoulda_Said_%27No%27!%22
$	1971	USA	/wiki/$_(film)
$1,000 a Touchdown	1939	USA	/wiki/$1,000_a_Touchdown
'68	1988	USA	/wiki/%2768_(film)
'Gator Bait	1974	USA	/wiki/%27Gator_Bait
'Gator Bait II: Cajun Justice	1988	USA	/wiki/%27Gator_Bait_II:_Cajun_Justice
'Neath Brooklyn Bridge	1942	USA	/wiki/%27Neath_Brooklyn_Bridge
'Til There Was You	1997	USA	/wiki/%27Til_There_Was_You
'Til We Meet Again	1940	USA	/wiki/%27Til_We_Meet_Again
'night, Mother	1986	USA	/wiki/%27night,_Mother_(film)
...All the Marbles	1981	USA	/wiki/...All_the_Marbles
...And Justice for All	1979	USA	/wiki/...And_Justice_for_All_(film)
...tick...tick...tick...	1970	USA	/wiki/...tick...tick...tick...
10	1979	USA	/wiki/10_(film)
10 Items or Less	2006	USA	/wiki/10_Items_or_Less_(film)
10 Things I Hate About You	1999	USA	/wiki/10_Things_I_Hate_About_You
10 to Midnight	1983	USA	/wiki/10_to_Midnight
100 Rifles	1969	USA	/wiki/100_Rifles
101 Dalmatians	1996	USA	/wiki/101_Dalmatians_(1996_film)
101 Dalmatians II: Patch's London Adventure	2003	USA	/wiki/101_Dalmatians_II:_Patch%27s_London_Adventure
10th &amp; Wolf	2006	USA	/wiki/10th_%26_Wolf
11 Harrowhouse	1974	USA	/wiki/11_Harrowhouse
12 Angry Men	1957	USA	/wiki/12_Angry_Men_(1957_film)
12 Angry Men	1997	USA	/wiki/12_Angry_Men_(1997_film)
12 Rounds	2009	USA	/wiki/12_Rounds_(film)
12 Rounds 2: Reloaded	2013	USA	/wiki/12_Rounds_2:_Reloaded
12 Years a Slave	2013	USA	/wiki/12_Years_a_Slave_(film)
12:01 PM	1990	USA	/wiki/12:01_PM_(1990_film)
13 Ghosts	1960	USA	/wiki/13_Ghosts
13 Rue Madeleine	1947	USA	/wiki/13_Rue_Madeleine
13 Sins	2014	USA	/wiki/13_Sins
1408	2007	USA	/wiki/1408_(film)
1492: Conquest of Paradise	1992	USA	/wiki/1492:_Conquest_of_Paradise
15 Maiden Lane	1936	USA	/wiki/15_Maiden_Lane
16 Blocks	2006	USA	/wiki/16_Blocks
17 Again	2009	USA	/wiki/17_Again_(film)
1776	1972	USA	/wiki/1776_(film)
18 Again!	1988	USA	/wiki/18_Again!
1915	2015	USA	/wiki/1915_(film)
1941	1979	USA	/wiki/1941_(film)
1969	1988	USA	/wiki/1969_(film)
1991: The Year Punk Broke	1992	USA	/wiki/1991:_The_Year_Punk_Broke
2 Days in the Valley	1996	USA	/wiki/2_Days_in_the_Valley
2 Fast 2 Furious	2003	USA	/wiki/2_Fast_2_Furious
2-Headed Shark Attack	2012	USA	/wiki/2-Headed_Shark_Attack
20 Dates	1998	USA	/wiki/20_Dates
20 Feet from Stardom	2013	USA	/wiki/20_Feet_from_Stardom
20 Million Miles to Earth	1957	USA	/wiki/20_Million_Miles_to_Earth
20 Mule Team	1940	USA	/wiki/20_Mule_Team
20,000 Leagues Under the Sea	1954	USA	/wiki/20,000_Leagues_Under_the_Sea_(1954_film)
20,000 Leagues Under the Sea	1997	USA	/wiki/20,000_Leagues_Under_the_Sea_(1997_Hallmark_film)
20,000 Leagues Under the Sea	1997	USA	/wiki/20,000_Leagues_Under_the_Sea_(1997_Village_Roadshow_film)
20,000 Men a Year	1939	USA	/wiki/20,000_Men_a_Year
20,000 Years in Sing Sing	1932	USA	/wiki/20,000_Years_in_Sing_Sing
200 Cigarettes	1999	USA	/wiki/200_Cigarettes
200 Motels	1971	USA	/wiki/200_Motels
2001: A Space Odyssey	1968	USA	/wiki/2001:_A_Space_Odyssey_(film)
2010	1984	USA	/wiki/2010_(film)
2012	2009	USA	/wiki/2012_(film)
21	2008	USA	/wiki/21_(2008_film)
21 Grams	2003	USA	/wiki/21_Grams
21 Jump Street	2012	USA	/wiki/21_Jump_Street_(film)
21 and Over	2013	USA	/wiki/21_%26_Over_(film)
22 Jump Street	2014	USA	/wiki/22_Jump_Street
23 Paces to Baker Street	1956	USA	/wiki/23_Paces_to_Baker_Street
24 Hours	1931	USA	/wiki/24_Hours_(1931_film)
24 Hours of a Woman's Life	1952	USA	/wiki/24_Hours_of_a_Woman%27s_Life
25th Hour	2002	USA	/wiki/25th_Hour
27 Dresses	2008	USA	/wiki/27_Dresses
28 Days	2000	USA	/wiki/28_Days_(film)
28 Hotel Rooms	2012	USA	/wiki/28_Hotel_Rooms
29th Street	1991	USA	/wiki/29th_Street_(film)
3 Chains o' Gold	1994	USA	/wiki/3_Chains_o%27_Gold_(film)
3 Days to Kill	2014	USA	/wiki/3_Days_to_Kill
3 Dumb Clucks	1937	USA	/wiki/3_Dumb_Clucks
3 Geezers!	2013	USA	/wiki/3_Geezers!
3 Godfathers	1948	USA	/wiki/3_Godfathers
3 Men in White	1944	USA	/wiki/3_Men_in_White
3 Nights in the Desert	2015	USA	/wiki/3_Nights_in_the_Desert
3 Ninjas	1992	USA	/wiki/3_Ninjas_(film)
3 Ninjas Kick Back	1994	USA	/wiki/3_Ninjas_Kick_Back
3 Ninjas Knuckle Up	1995	USA	/wiki/3_Ninjas_Knuckle_Up
3 Nuts in Search of a Bolt	1964	USA	/wiki/3_Nuts_in_Search_of_a_Bolt
3 Ring Circus	1954	USA	/wiki/3_Ring_Circus
3 Strikes	2000	USA	/wiki/3_Strikes_(film)
3 Women	1977	USA	/wiki/3_Women
3,2,1... Frankie Go Boom	2012	USA	/wiki/3,2,1..._Frankie_Go_Boom
30 Days of Night	2007	USA	/wiki/30_Days_of_Night_(film)
30 Minutes or Less	2011	USA	/wiki/30_Minutes_or_Less
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo	2013	USA	/wiki/30_Nights_of_Paranormal_Activity_with_the_Devil_Inside_the_Girl_with_the_Dragon_Tattoo
300	2007	USA	/wiki/300_(film)
3000 Miles to Graceland	2001	USA	/wiki/3000_Miles_to_Graceland
300: Rise of an Empire	2014	USA	/wiki/300:_Rise_of_an_Empire
35 and Ticking	2011	USA	/wiki/35_and_Ticking
36 Hours	1965	USA	/wiki/36_Hours_(1965_film)
36 Hours to Kill	1936	USA	/wiki/36_Hours_to_Kill
365 Nights in Hollywood	1934	USA	/wiki/365_Nights_in_Hollywood
3:10 to Yuma	1957	USA	/wiki/3:10_to_Yuma_(1957_film)
3:10 to Yuma	2007	USA	/wiki/3:10_to_Yuma_(2007_film)
4 Little Girls	1997	USA	/wiki/4_Little_Girls
4 Minute Mile	2014	USA	/wiki/4_Minute_Mile
4 for Texas	1963	USA	/wiki/4_for_Texas
40 Carats	1973	USA	/wiki/40_Carats_(film)
40 Days and 40 Nights	2002	USA	/wiki/40_Days_and_40_Nights
40 Days and Nights	2012	USA	/wiki/40_Days_and_Nights
40 Guns to Apache Pass	1967	USA	/wiki/40_Guns_to_Apache_Pass
42	2013	USA	/wiki/42_(film)
42nd Street	1933	USA	/wiki/42nd_Street_(film)
